Search_type,Start State,Solution Found,Depth,Nodes Expanded,Search Time,Solution Path
BFS,"[0, 2, 6, 4, 8, 5, 1, 7, 3]",TRUE,24,154312,2.219178098,"['1 swapped for 4, ', '4 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 7, ', '7 swapped for 4, ', '4 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 9, ', '9 swapped for 6, ', '6 swapped for 3, ', '3 swapped for 2, ', '2 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 9, ', '9 swapped for 6, ', '6 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 7, ', '7 swapped for 4, ', '4 swapped for 1, ', '1 swapped for 2, ', '2 swapped for 3, ', '3 swapped for 6, ', '6 swapped for 9, ']"
DFS,"[0, 2, 6, 4, 8, 5, 1, 7, 3]",TRUE,66014,131541,1.376305085,
A* Misplaced Tiles,"[0, 2, 6, 4, 8, 5, 1, 7, 3]",TRUE,24,28179,0.419687965,"['1 swapped for 4, ', '4 swapped for 7, ', '7 swapped for 8, ', '8 swapped for 9, ', '9 swapped for 6, ', '6 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 7, ', '7 swapped for 4, ', '4 swapped for 1, ', '1 swapped for 2, ', '2 swapped for 5, ', '5 swapped for 4, ', '4 swapped for 7, ', '7 swapped for 8, ', '8 swapped for 9, ', '9 swapped for 6, ', '6 swapped for 3, ', '3 swapped for 2, ', '2 swapped for 1, ', '1 swapped for 4, ', '4 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 9, ']"
A* Manhattan Distance,"[0, 2, 6, 4, 8, 5, 1, 7, 3]",TRUE,24,5221,0.095366641,"['1 swapped for 4, ', '4 swapped for 7, ', '7 swapped for 8, ', '8 swapped for 5, ', '5 swapped for 4, ', '4 swapped for 7, ', '7 swapped for 8, ', '8 swapped for 9, ', '9 swapped for 6, ', '6 swapped for 3, ', '3 swapped for 2, ', '2 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 9, ', '9 swapped for 6, ', '6 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 7, ', '7 swapped for 4, ', '4 swapped for 1, ', '1 swapped for 2, ', '2 swapped for 3, ', '3 swapped for 6, ', '6 swapped for 9, ']"
,,,,,,
BFS,"[2, 1, 0, 6, 8, 7, 4, 3, 5]",TRUE,26,170988,2.490635069,"['3 swapped for 6, ', '6 swapped for 9, ', '9 swapped for 8, ', '8 swapped for 5, ', '5 swapped for 2, ', '2 swapped for 1, ', '1 swapped for 4, ', '4 swapped for 5, ', '5 swapped for 6, ', '6 swapped for 3, ', '3 swapped for 2, ', '2 swapped for 1, ', '1 swapped for 4, ', '4 swapped for 5, ', '5 swapped for 6, ', '6 swapped for 9, ', '9 swapped for 8, ', '8 swapped for 5, ', '5 swapped for 2, ', '2 swapped for 3, ', '3 swapped for 6, ', '6 swapped for 5, ', '5 swapped for 4, ', '4 swapped for 7, ', '7 swapped for 8, ', '8 swapped for 9, ']"
DFS,"[2, 1, 0, 6, 8, 7, 4, 3, 5]",TRUE,53900,167437,1.869649881,
A* Misplaced Tiles,"[2, 1, 0, 6, 8, 7, 4, 3, 5]",TRUE,26,53697,0.846556171,"['3 swapped for 2, ', '2 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 9, ', '9 swapped for 6, ', '6 swapped for 5, ', '5 swapped for 4, ', '4 swapped for 1, ', '1 swapped for 2, ', '2 swapped for 3, ', '3 swapped for 6, ', '6 swapped for 5, ', '5 swapped for 4, ', '4 swapped for 1, ', '1 swapped for 2, ', '2 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 9, ', '9 swapped for 6, ', '6 swapped for 5, ', '5 swapped for 4, ', '4 swapped for 7, ', '7 swapped for 8, ', '8 swapped for 5, ', '5 swapped for 6, ', '6 swapped for 9, ']"
A* Manhattan Distance,"[2, 1, 0, 6, 8, 7, 4, 3, 5]",TRUE,26,5673,0.105770188,"['3 swapped for 2, ', '2 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 9, ', '9 swapped for 6, ', '6 swapped for 5, ', '5 swapped for 4, ', '4 swapped for 1, ', '1 swapped for 2, ', '2 swapped for 3, ', '3 swapped for 6, ', '6 swapped for 5, ', '5 swapped for 4, ', '4 swapped for 1, ', '1 swapped for 2, ', '2 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 9, ', '9 swapped for 6, ', '6 swapped for 5, ', '5 swapped for 4, ', '4 swapped for 7, ', '7 swapped for 8, ', '8 swapped for 5, ', '5 swapped for 6, ', '6 swapped for 9, ']"
,,,,,,
,,,,,,
BFS,"[3, 1, 5, 7, 6, 4, 0, 8, 2]",FALSE,31,181440,2.789354438,
DFS,"[3, 1, 5, 7, 6, 4, 0, 8, 2]",FALSE,66906,181440,2.593582938,
A* Misplaced Tiles,"[3, 1, 5, 7, 6, 4, 0, 8, 2]",FALSE,31,181440,3.58851035,
A* Manhattan Distance,"[3, 1, 5, 7, 6, 4, 0, 8, 2]",FALSE,30,181440,4.516754555,
,,,,,,
,,,,,,
BFS,"[6, 7, 2, 4, 1, 8, 0, 5, 3]",TRUE,22,100384,1.335753611,"['7 swapped for 4, ', '4 swapped for 1, ', '1 swapped for 2, ', '2 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 7, ', '7 swapped for 4, ', '4 swapped for 1, ', '1 swapped for 2, ', '2 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 7, ', '7 swapped for 4, ', '4 swapped for 5, ', '5 swapped for 6, ', '6 swapped for 9, ', '9 swapped for 8, ', '8 swapped for 5, ', '5 swapped for 2, ', '2 swapped for 3, ', '3 swapped for 6, ', '6 swapped for 9, ']"
DFS,"[6, 7, 2, 4, 1, 8, 0, 5, 3]",TRUE,51004,169562,1.929571216,
A* Misplaced Tiles,"[6, 7, 2, 4, 1, 8, 0, 5, 3]",TRUE,22,12057,0.171211322,"['7 swapped for 4, ', '4 swapped for 1, ', '1 swapped for 2, ', '2 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 7, ', '7 swapped for 4, ', '4 swapped for 1, ', '1 swapped for 2, ', '2 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 7, ', '7 swapped for 4, ', '4 swapped for 5, ', '5 swapped for 6, ', '6 swapped for 9, ', '9 swapped for 8, ', '8 swapped for 5, ', '5 swapped for 2, ', '2 swapped for 3, ', '3 swapped for 6, ', '6 swapped for 9, ']"
A* Manhattan Distance,"[6, 7, 2, 4, 1, 8, 0, 5, 3]",TRUE,22,1223,0.02296176,"['7 swapped for 4, ', '4 swapped for 1, ', '1 swapped for 2, ', '2 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 7, ', '7 swapped for 4, ', '4 swapped for 1, ', '1 swapped for 2, ', '2 swapped for 5, ', '5 swapped for 8, ', '8 swapped for 7, ', '7 swapped for 4, ', '4 swapped for 5, ', '5 swapped for 6, ', '6 swapped for 9, ', '9 swapped for 8, ', '8 swapped for 5, ', '5 swapped for 2, ', '2 swapped for 3, ', '3 swapped for 6, ', '6 swapped for 9, ']"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
